tweet_id,created_at,tweet,category,sentiment,combined
1466974164795809795,2021-12-04 03:34:30+00:00,"Newest Mindgasms Quickie that is my reaction/review of the new Dune movie, the latest adaptation based on the famous classic sci-fi fantasy novel by Frank Herbert, the first in the original series. I compare the film to the book al…https://t.co/bjiaKtKWs3 https://t.co/8TwyQTMekP"
1466976865080512514,2021-12-04 03:45:14+00:00,"Someone just used my amazon account to buy the new Dune movie and I’m not even that upset, just more baffled as to why that was the hackers first choice 🤔"
1466977815140704257,2021-12-04 03:49:00+00:00,"i dont wanna be annoying and compare them even just bc david lynch’s dune shoves a lot into one movie but i think it felt more hero esque where, for any shortcomings, at least denis’ version, even without rly diving into it yet, underlines that paul’s actions shouldnt feel heroic"
1466978956582821888,2021-12-04 03:53:33+00:00,"@papaue00 lmao what if leo is an edgelord about it like, ""oh the color palette🥴 lynch dune was better"" lmao jk. and nah i can see marx nerd out in a dad way tho? but ngl i can see him not noticing the title card said part 1, and when the movie ends he's like, ""Wait, there's more right?"""
1466981602450292740,2021-12-04 04:04:03+00:00,"been busy w finals and started a different audiobook to listen to at work and im like... i miss Dune 💀💀 seeing the movie again but in imax reinvigorated my desire to continue the series, BUT I NEED TO TAKE A BREAK WHILE I DO FINALS OR IT WILL CONSUME ME, LOL"
1466982055661621251,2021-12-04 04:05:51+00:00,Dune movie good
1466982231587663876,2021-12-04 04:06:33+00:00,@NEETWorldOrder I'm too masculine for the workplace and I *liked* the Dune movie.
1466986711997632513,2021-12-04 04:24:22+00:00,Loved the new Dune movie @DojaCat https://t.co/5p15ZbQjED
1466989887245086720,2021-12-04 04:36:59+00:00,@tellmeofyourho1 @inqdragon2 Have you seen the new Dune movie?
1466990309670277122,2021-12-04 04:38:39+00:00,Saw my first IMAX movie tonight…holy shit. Dune. In IMAX. DUNE IN IMAX!!!  That’s all.
1466990682975973381,2021-12-04 04:40:08+00:00,Dune https://t.co/UOL639DkWm @themoviedb #raspberrypi #TweetBoxBot https://t.co/i1UhVoGs0S
1466990708082892803,2021-12-04 04:40:14+00:00,"So I watched the movie Dune (2021).  It was a let down nowhere as good as the the 1984 version (in my opinion). I watched the whole movie before I realized it was only half of the 1984 version, so sad now I have to wait till March 2023 to see the rest."
1466991160367460355,2021-12-04 04:42:02+00:00,"@CUBILLO_ @pseudeauriche That's fair haha, I'm hardly a film critic but a big fan of fantasy novels &amp; their adaptations.  Dune worked decent as a book &amp; I'm gonna hold off on rating the movie until the whole story is complete but saying that a movie can work without plot is just blasphemy to me 🤣"
1466995901478625281,2021-12-04 05:00:53+00:00,"Same criticism I have of Dune 2021. There are so many good scenes, even entirely created scenes, that would have made the movie better."
1466997190174388234,2021-12-04 05:06:00+00:00,"@CrymsonDawn @CUBILLO_ movies are also about cinematography, soundtrack and theme so idk I think while obv plot is nice to have a good movie doesn’t have to give you a neat beginning middle and end just the way a good book doesn’t always give you closure. dune is just the start of a larger story"
1466999455031439362,2021-12-04 05:15:00+00:00,"I wonder if Dune the book is in our school library, the movie is really fucking good"
1467001219726168065,2021-12-04 05:22:01+00:00,"Wait, Ridley Scott Almost Made His Own Dune Movie? Why He Says He Backed Out https://t.co/J6vFuhsZeF #Movies"
1467004056669413376,2021-12-04 05:33:17+00:00,@problematicpny Yeah the vape pens are pretty fire. It’s what was in the 4d Dune movie
1467008414920368130,2021-12-04 05:50:36+00:00,@PearlThusi Aibo people have you watch Dune?   Such an epic movie
1467008575063080966,2021-12-04 05:51:14+00:00,Dune would be fire if that sickly looking yute wasn’t in my face the whole movie
1467008913690222600,2021-12-04 05:52:35+00:00,"Wait, Ridley Scott Almost Made His Own Dune Movie? Why He Says He Backed Out https://t.co/Hh25yJyTND"
1467009825754140672,2021-12-04 05:56:12+00:00,DUNE is a cool movie but I can’t help noticing the age gap between Paul and his mom
1467009839930904581,2021-12-04 05:56:16+00:00,#Dune was that very long movie that I didn’t knew I needed in my life. Stunning!
1467010930823286790,2021-12-04 06:00:36+00:00,Dune movie comes out they'll mimic microsoft and paint it as being consumer friendly.
1467013253792292864,2021-12-04 06:09:50+00:00,"There are about 10 theaters in the country that present IMAX movies in the full 1.43:1 aspect ratio on gigantic screens (the LA one is citywalk). if you're able to, see Dune at one of these houses. It's an incredible experience and it feels like the movie was made for the format"
1467014385579466752,2021-12-04 06:14:19+00:00,Dune is a wonderful movie. Didn't want it to end!
1467017440173322240,2021-12-04 06:26:28+00:00,Neeed Dune to hurry up and be over. I'm so over this movie. Let me out!! 😭
1467018321946107911,2021-12-04 06:29:58+00:00,My review of Dune (2021): Visuals: boring  Audio: boring  Action: boring  Story: boring   1/10 I hated that movie
1467019227009667072,2021-12-04 06:33:34+00:00,Timothee Chalamet when he finally met Zendaya after spending all movie dreaming about her in Dune https://t.co/YwRYRQOBqB
1467019326637150209,2021-12-04 06:33:58+00:00,@DaveBautista @dunemovie This movie is so awesome! Can’t wait to get my BluRay on Dec 23th!!! That will be a Dune Christmas ❤️
1467020340123475971,2021-12-04 06:37:59+00:00,"Free movie ticket for Dune at Newtown, 17:45 session https://t.co/qR7izKI3lx #Sydney"
1467021053570387973,2021-12-04 06:40:49+00:00,I finally get to watch the new Dune movie tomorrow 🙏  I’ve been waiting for so long for it to release in my country 0-0  It’s literally my favourite book
1467022027647500296,2021-12-04 06:44:41+00:00,Dune Movie | Official Website https://t.co/9ZeGjQ6zAA
1467022688740855810,2021-12-04 06:47:19+00:00,"@jahelcorban Everyone one needs and deserves a long lasting movie like #Dune, I guess?"
1467025130803109895,2021-12-04 06:57:01+00:00,Bergman Clementine introduction of The House Corrino in Dune is one of best movie scene of all time. https://t.co/6BXoXkpFe7
1467026029499731976,2021-12-04 07:00:36+00:00,I swear to god if all of you who love Dune don’t go back and watch other past Villeneuve movies. Dune on a good day is like objectively the 4th best movie he’s made lol
1467026080657780738,2021-12-04 07:00:48+00:00,"The new single from the upcoming album ""Years Of The Serpent"". The video was visually influenced by the new ""Dune"" movie.  Faderhead @ https://t.co/Djir3pjfQR  Faderhead  #EBM  https://t.co/B6Gc2yc2zS"
1467026615867568130,2021-12-04 07:02:55+00:00,"Finally saw Dune. Some thoughts.  I now totally understand the “folks who don’t know the books would be super confused”  Not sure that makes it a bad movie experience - but certainly different than those who know the world/story.  That said, my wife enjoyed it."
1467027921349099521,2021-12-04 07:08:07+00:00,The Brady Bunch Movie did more for cinema than Dune
1467029194232107008,2021-12-04 07:13:10+00:00,@MKUltraTranny Fear of seeing dune is the movie mind killer
1467029321441107968,2021-12-04 07:13:40+00:00,King Richard was such a beautiful movie!!!!!! ❤️ go watch it!!   Also! Idk what y’all were talking about Dune being a boring movie I loved that one too!! 👍🏼
1467031191538728962,2021-12-04 07:21:06+00:00,never have i missions getting to a movie on time than i have this showing of dune
1467032116089155587,2021-12-04 07:24:47+00:00,dune (part one) is the funniest movie i've ever seen
1467032478376509440,2021-12-04 07:26:13+00:00,"Wait, Ridley Scott Almost Made His Own Dune Movie? Why He Says He Backed Out https://t.co/DxwXntcorf"
1467033386053218306,2021-12-04 07:29:50+00:00,"The ""My Desert, My Arrakis, My Dune"" moment made the entire movie for me, nothing more needed to be said. As soon as I rewinded it twice and heard he said ""My Dune,"" I was sold."
1467033555817488384,2021-12-04 07:30:30+00:00,"@Steele131 You look at Dune and I've seen videos between the editor, DP, Sound Supervisor, Production designer and they all basically influenced each others decisions because they all had the same vision. I know not every movie needs Nolan or Villeneuve level but it's getting lazy from some"
1467038361634361348,2021-12-04 07:49:36+00:00,@AnnikaHowells Yess! I got myself the first Dune book because I cant wait fir the next movie. Its so awesome and well written! Can recommend!
1467039875497037833,2021-12-04 07:55:37+00:00,"@dmlvianna I'm re-reading Dune atm, as it happens!  I'm really enjoying it this time, now having watched the 1984 movie (which I loved) and 2021 remake (which only makes sense because I saw the first one, but is visually stunning and will probably be recognized as *the* Dune movie). https://t.co/F53VSsTOfe"
1467042447641350147,2021-12-04 08:05:50+00:00,dune was so bad omg all I gained from that movie was a headache
1467044465361645568,2021-12-04 08:13:51+00:00,"@KDKells Years ago as a teen. Very striking then (I'm old, SF has moved on a lot since then). Reading Dune to our son has been a mission filled with ""Uh...this background'll make sense next chapter..."" I kept trying to figure if I'd enjoy the movie as much without that context."
1467046476757057540,2021-12-04 08:21:51+00:00,"Wait, Ridley Scott Almost Made His Own Dune Movie? Why He Says He Backed Out – NewsEverything Movies https://t.co/MP3m0nu0Jn"
